,edit_history_tweet_ids,id,text
20,['1610516503505371137'],1610516503505371137,"#BlueWaterBridge as of 1AM wait times heading WB into the U.S. are less than 15 min. for cars and 15-30 min. for commercial vehicles.

As of 1AM wait times heading EB into Canada are less than 15 min. for cars and commercial vehicles. #MDOT"
21,['1610516502071107585'],1610516502071107585,"RT @MGMotorIn: Ever since its launch, MG changed the world of sports cars and became the favoured brand of young motoring fans. Let us driv…"
22,['1610516498870857729'],1610516498870857729,"RT @tolgaozcelkk90: Henry Ford'un Cannabis arabası Kenevirden yapılmıştır: Çelikten 10 kat daha güçlü, %100 yeşil!
Yıl:1930 
https://t.co/U…"
23,['1610516494194184193'],1610516494194184193,"@TataMotors_Cars Sir, just visited workshop and remove error but they said no solution for this. It's harrier common problem"
24,['1610516489379151873'],1610516489379151873,RT @Kamada3: 最も長持ちする車、寿命の長い車はどれ？（数字は距離数です。マイルで示されています。１マイル＝1.6キロ）トップ10中９車が日本製です。https://t.co/RUI6azi3O1 https://t.co/ElfL6YoQeV
25,['1610516479363153921'],1610516479363153921,@MCD_Delhi @LtGovDelhi @CPCB_OFFICIAL @CPDelhi removal of junk cars -181 Defence colony  fly over market  jung pura side https://t.co/PpWAcy28dH
26,['1610516478297505792'],1610516478297505792,"RT @wil_da_beast630: You know what's better and more effective than ""high-speed rail?"" 

Airplanes.

Another top contender? Cars you can dr…"
27,['1610516477601366016'],1610516477601366016,Please factor in that all their cars are brand new. None are base models and none have an MSRP under $70K. https://t.co/CoStvVlBqI
28,['1610516475256651776'],1610516475256651776,@crybabymilo S'il à ça où un oreiller cars c'est homme à marier
29,['1610516474669531140'],1610516474669531140,"Metal Machine is racing into a new year with a vast range of the coolest die-cast cars. Kickstart your collection at ToyZone today.

#ToyZone #Zoink https://t.co/loefv5r7ct"
30,['1610516468436996096'],1610516468436996096,@elonmusk more than 30 unmarked police cars following me every I go to construction sites and I have followed everywhere on 03-01-2023
31,['1610516455971233793'],1610516455971233793,"मारुति, हुंडई, टाटा को छोड़ इन 3 कंपनियों की कारों की डिमांड बड़ी; 2 कंपनियों से लोगों ने दूरी बनाई https://t.co/x9YBpFfj1k"
32,['1610516451336818689'],1610516451336818689,@EricEatsPickles It's time to ban cars wherever they aren't absolutely necessary.
33,['1610516451017854978'],1610516451017854978,"Don't just love cars and superbikes learn to make them!
Join an Automotive Masterclass at @ECTKenya starting on January 9 - 20, 2023.
Registration Link: https://t.co/Dig9kIw7Bm 
Contact Kevin on 0782252652 | 0110099375 or email admissions@ect.ac.ke https://t.co/ywU5sH0arb"
34,['1610516445712232448'],1610516445712232448,"RT @dearourhope: มาอวดโปรเจคค่ะ ออร่าของคุณเจโฮปสว่างแม้ในที่มืด 🙏
🇹🇭 โปรเจค #เจโฮปเบิ้นเบิ้นอินไทยแลนด์
🛺 ป้ายรถตุ๊กตุ๊ก
— 10 คัน เส้นสยาม…"
35,['1610516428960202753'],1610516428960202753,@sandyg1961 @POTUS Yup. So you pay more in gas. You pay emission testing fees. You pay for the extra maintenance older cars need since the wealthy usually sell them just before they need the work. And they get the tax break. I’m jumping in line for a free punch in the stomach.
36,['1610516426334281729'],1610516426334281729,"𝐇𝐚𝐭𝐜𝐡𝐛𝐚𝐜𝐤 𝐖𝐞𝐝𝐧𝐞𝐬𝐝𝐚𝐲 - 2015 BMW 2 Series 218d Active Tourer Sport in Mineral Gray 🖤

*Please visit our website for a more comprehensive vehicle description and additional photos: https://t.co/kMK40S5MEk

#westsideauto #wholesale #bmw #bmwaustralia https://t.co/fSqGfT7ICz"
37,['1610516414162505730'],1610516414162505730,@JRUrbaneNetwork Trains and cars are basically the same thing in this situation. One is more efficient though.
38,['1610516412380086272'],1610516412380086272,"@backtolife_2023 It must be Absinthe, shrooms &amp; insanity to have one think you could take our cars from us plebs. These elitist wackos need to go away &amp; take the psycho Greta with them. Adios"
39,['1610516411016790017'],1610516411016790017,"RT @BlackIranians: 📍 Javanrud, Kurdistan

The people’s resistance 
vs 
The #IRGC response, among which, throwing tear gas at civilian cars.…"
40,['1610516407703470087'],1610516407703470087,@H0NEYRIVER I like square cars in general sadly
41,['1610516389680357377'],1610516389680357377,"RT @WholeMarsBlog: Brian Pottenger, battalion chief for Cal Fire, had this to say about the rescue: 

""We go there all the time for cars ov…"
42,['1610516378234003458'],1610516378234003458,"CKAuto Tire Valve Stem Caps, Black, 4 pcs/Pack, Anodized Aluminum Tire Valve Cap Set, Corrosion Resistant, Universal Stem Covers for Cars Trucks Motorcycles SUVs and Bikes - https://t.co/DAwuGnQNJa"
43,['1610516377693028352'],1610516377693028352,"@SandzaMndayi @Mamphephethe_10 No no no we drive cars or if you don't have one there are taxis.... There's only 1st and last walk.

1st walk is this one going.
Last walk when we go back.

In between as we will be coming on weekends we use cars."
44,['1610516376816390145'],1610516376816390145,"The black and white cat was only discovered when his miaows alerted the driver of the car to his whereabouts - after it had been driven numerous times.

https://t.co/nqoVoktRuO"
45,['1610516375646208000'],1610516375646208000,"#China officially kicked off the exports of second-hand cars in 2019, with ten regions allowed to conduct such trade. In January, 14 more regions, including Liaoning, Fujian, and Sichuan have joined the league, according to the Ministry of Commerce. https://t.co/vsMTFH86r7"
46,['1610516374904016898'],1610516374904016898,you want a Daddy who's into sports cars and big boats don't you?
47,['1610516363331751936'],1610516363331751936,"According to Reuters, Tesla is poised to get a punishment from South Korea of roughly US $2.2 million for allegedly inflating the range of its electric cars (EVs).

According to the Korea Fair Trade Commission, the Elon Musk-led corporation failed to

https://t.co/FR2iRCe0wd https://t.co/Iv2t2n8i6u"
48,['1610516345610805248'],1610516345610805248,@hellofurman @stats_feed 🤚Bring all petrol cars to mars
49,['1610516337054609409'],1610516337054609409,"RT @mnm_meya: Men see a car from the front and be like Oh that's a BMW 

And when it passes you have to check the back to see which BMW it…"
50,['1610516332205985793'],1610516332205985793,"@elonmusk  if everyone buys EV cars, where is all the electricity going to come from? CA already has residents shutting off a/c units a day or two a week on hot days.  I own a Tesla, but just saying."
51,['1610516325532573696'],1610516325532573696,@MarieAnnUK Powerful cars shouldn't be allowed. There is absolutely no justification for endangering the public like that.
52,['1610516324664369153'],1610516324664369153,GTA 5 basically taught me how to drive cars so i don’t see why i can’t land a plane using the same logic https://t.co/wYn1RUAgz2
53,['1610516319451115523'],1610516319451115523,"Since there is no... #ATeamHistorians or #FallGuyHistorians I asked @KnightRiderHistorians to make a video about where those cars were currently...HERE is what they made....

https://t.co/7JMn3Dz8o7"
54,['1610516316632518658'],1610516316632518658,RT @marcelemoran: Just completely bankrupt regional planning. Rather than give cyclists one of *TEN LANES* dedicated to cars on the Bay Bri…
55,['1610516311188115457'],1610516311188115457,I just entered @AutoTrader_UK’s monthly️ #ElectricCarGiveaway &amp; you can too! This month’s prize is a Tesla Model Y worth over £51k! It’s free to enter &amp; you have until 31st January. All information (including Ts&amp;Cs) can be found here: https://t.co/c7ppfc9kgq
56,['1610516306154987522'],1610516306154987522,"RT @backtolife_2023: WEF Declares People Have No Right To Own Their Own Cars: ‘You Can Walk or Share’
https://t.co/89MmmwdeGI"
57,['1610516276794777601'],1610516276794777601,"FRASES CARS te ofrece UN PORRO, ACEPTAS?? Yo no! 🚭"
58,['1610516275905859584'],1610516275905859584,"RT @TheRealHoarse: Meaning, Tesla fulfilled backorders faster than new orders came in.

And they still produced 40,000 more cars than they…"
59,['1610516267743453186'],1610516267743453186,"N2 north BOUND, Looks like 3 cars involved, right lane obstructed before  Spaghetti Junction 
#ALSParamedics on scene"
60,['1610516248806178816'],1610516248806178816,"RT @backtolife_2023: WEF Declares People Have No Right To Own Their Own Cars: ‘You Can Walk or Share’
https://t.co/89MmmwdeGI"
61,['1610516240875020288'],1610516240875020288,"@pmarca Ya that’s what clowns said to Musk about his electric cars and rockets to Mars. 

More like this will never get done if they have your negative mindset."
62,['1610516240396877824'],1610516240396877824,"RT @ThePeacefulKels: Is it only VW cars (yes I know it’s a Porsche, but it’s a VW) whose lights can be taken out this easily ?"
63,['1610516235946692611'],1610516235946692611,"RT @TheRealHoarse: Tesla promises 50% year over year growth.

That averages out to delivering 500,000 cars per quarter in 2023.

They strug…"
64,['1610516231903236100'],1610516231903236100,"Worldwide cars shipping from Copart, Iaai, and Manheim auctions – Film Daily - https://t.co/n9HDrvg8NB"
65,['1610516228719640576'],1610516228719640576,@Mothematiks Looks like those cars that switch up from The Peripheral.
66,['1610516227864109056'],1610516227864109056,@WafflesDoesArt Cars require large sunroofs and uhh...no front seats? https://t.co/AedWy6v6Sy
67,['1610516222881284096'],1610516222881284096,"RT @cbngovakinsola: #AsiwajuInKano 
Incoming President, Asiwaju Tinubu in Kano ahead of the Presidential Campaign Rally Tomorrow.

He's her…"
68,['1610516221623169024'],1610516221623169024,"RT @USATODAY: Technological creations like flying cars and robot baristas are in our near future, thanks to these researchers and inventors…"
69,['1610516219181912064'],1610516219181912064,RT @Hayden_irl_: Got my hands on my absolute favorite Pokémon card at the (somewhat) local cars shop today :-) https://t.co/X2XKiDFRqW
70,['1610516214778073088'],1610516214778073088,RT @Marlene26194716: @MyNameIsTheo011 GAMITIN MO NA IPON MO PARA MAIBILI MO SYA NG CARS...
71,['1610516196868202496'],1610516196868202496,"@elonmusk it would be an interesting statistic to know how many cars have driven off a cliff and not made the national news, let alone stating the make of the car. Stoked they all survived. Y’all doing something right. Miss the days when the dems had a harder time attacking you."
72,['1610516196813578240'],1610516196813578240,@dougs_cars https://t.co/ilbzZyC4rG
73,['1610516190496956416'],1610516190496956416,@bibigomezx3 What’s wrong with those cars lol
74,['1610516185203736579'],1610516185203736579,Clearly we should replace cars with nugget biscuit nugget in a biscuit https://t.co/2W6ykA5U7r
75,['1610516152366530561'],1610516152366530561,"""You could have 1,000 engineers and they would never get to this solution,"" says co-founder Kevin Czinger. https://t.co/WFberZUbk0"
76,['1610516149992669185'],1610516149992669185,"RT @ja_konyango: Based on this reliability ratings from consumer reports in the USA, you might as well get a volvo.

Volvo beats Mercedes,…"
77,['1610516148034109441'],1610516148034109441,"“Now, it looks like we might see certain cars that were once forgotten make a comeback in style.” https://t.co/JJp0EcmlEZ https://t.co/3wCPyycsv7"
78,['1610516136961126400'],1610516136961126400,"RT @CPRNews: Gov. Jared Polis is pushing lawmakers to make it even cheaper for Colorado residents to buy an electric car, electric bike or…"
79,['1610516131558658049'],1610516131558658049,RT @jasondebolt: Elon Musk risked everything to quickly transition the world to EV’s and sustainable energy. The Biden administration is tr…
80,['1610516124529197058'],1610516124529197058,"RT @MGMotorIn: Ever since its launch, MG changed the world of sports cars and became the favoured brand of young motoring fans. Let us driv…"
81,['1610516122079559682'],1610516122079559682,RT @riteyriter: WEF Declares People Have No Right To Own Their Own Cars: 'You Can Walk or Share' https://t.co/cvEBxmwKfr via @realnewspunch
82,['1610516119332192257'],1610516119332192257,"FRASES CARS te ofrece UN PORRO, ACEPTAS?? Yo si! 🚬"
83,['1610516113812770816'],1610516113812770816,@ComradeMelodie @maryewarren It would be as simple as saying “if charged by home solar it’s (x) cleaner than traditional cars” but nah
84,['1610516112474619904'],1610516112474619904,"@anandmahindra Guess where this aspiring super car is from ( clue, E is the logo). That's where Mahindra and @TataMotors_Cars are going wrong. No aspiration whatsoever. https://t.co/3SwRJXxSJ6"
85,['1610516108104302592'],1610516108104302592,RT @Kamada3: 最も長持ちする車、寿命の長い車はどれ？（数字は距離数です。マイルで示されています。１マイル＝1.6キロ）トップ10中９車が日本製です。https://t.co/RUI6azi3O1 https://t.co/ElfL6YoQeV
86,['1610516107923685376'],1610516107923685376,"RT @theblaze: ""We go there all the time for cars over the cliff and they never live. This was an absolute miracle.""
https://t.co/cpctnnaMIq"
87,['1610516095433166848'],1610516095433166848,Nowdays motor cars are increasingly popular but I think it will cause a lot of damage to us #原味 #语音 #女S #喷水 #jk制服 #裸聊 #绿帽 #高跟 giving all their hearts to look after us https://t.co/TCYJXSveIC
88,['1610516093025808385'],1610516093025808385,RT @FPAC_APFC: #DYK Canada’s forest sector can pull the equivalent of 30 megatonnes of CO2 out of the atmosphere every year. That’s the equ…
89,['1610516091356291073'],1610516091356291073,"RT @backtolife_2023: WEF Declares People Have No Right To Own Their Own Cars: ‘You Can Walk or Share’
https://t.co/89MmmwdeGI"
90,['1610516069558685697'],1610516069558685697,"RT @ButtBudder: Why Love Live’s Lanzhu Zhong and Cars’ Lightning McQueen are the same character: A thread 🧵

Spoilers for Cars, S2 of the L…"
91,['1610516066375196672'],1610516066375196672,"RT @MGMotorIn: Celebrating the British legacy whose greatest gems were its classic cars at 21 Gun Salute Concours d'Elegance.  
Catch a gli…"
92,['1610516058070470656'],1610516058070470656,"RT @amitrakshitbjp: - Highest GST collection in 2022.

- Car companies sold the highest nunber of cars last year.

- UPI transactions highe…"
93,['1610516055553613824'],1610516055553613824,"RT @MattWallace888: Andrew Tate spoke out against the system. Now the government is keeping him behind bars and seizing all his cars, and h…"
94,['1610516051468369920'],1610516051468369920,RT @QuntsNews: Zionist citizens as far north as Haifa were instructed by the IDF to leave their taps and garden hoses running. A combinatio…
95,['1610516051091165186'],1610516051091165186,"RT @soitfuckingoes: taylor swift didn't write ""to kiss in cars and downtown bars was all we needed you drew stars around my scars but now I…"
96,['1610516050277277698'],1610516050277277698,"RT @backtolife_2023: WEF Declares People Have No Right To Own Their Own Cars: ‘You Can Walk or Share’
https://t.co/89MmmwdeGI"
97,['1610516043918893056'],1610516043918893056,"RT @dearourhope: มาอวดโปรเจคค่ะ ออร่าของคุณเจโฮปสว่างแม้ในที่มืด 🙏
🇹🇭 โปรเจค #เจโฮปเบิ้นเบิ้นอินไทยแลนด์
🛺 ป้ายรถตุ๊กตุ๊ก
— 10 คัน เส้นสยาม…"
98,['1610516041498791936'],1610516041498791936,"RT @EvaFoxU: A Tesla car saved the lives of 4 after falling 250 feet off a cliff, as it is designed with safety as a core priority. 2 adult…"
